company_name,high,low,last_price,prev_close,change,percent_gain
TCS,"3,237.25","3,087.45","3,218.95","3,104.05",114.9,3.7
Cipla,925.40,883.90,914.20,885.20,29,3.28
ONGC,106.75,103.80,105.10,102.05,3.05,2.99
Wipro,434.45,415.00,430.70,418.95,11.75,2.8
Adani Ports,754.50,725.00,750.35,731.05,19.3,2.64
ICICI Bank,576.75,554.15,575.20,560.60,14.6,2.6
Tata Steel,911.50,879.50,898.20,879.00,19.2,2.18
HDFC Bank,"1,436.70","1,391.00","1,430.10","1,400.35",29.75,2.12
Divis Labs,"3,819.90","3,695.55","3,783.40","3,718.45",64.95,1.75
IOC,90.35,88.10,90.10,88.80,1.3,1.46
Dr Reddys Labs,"4,875.05","4,785.00","4,845.55","4,777.30",68.25,1.43
Hindalco,366.80,349.75,353.55,348.70,4.85,1.39
HDFC,"2,555.00","2,493.00","2,547.15","2,512.95",34.2,1.36
SBI Life Insura,912.00,890.00,908.70,897.80,10.9,1.21
Axis Bank,671.35,652.30,668.85,661.00,7.85,1.19
Sun Pharma,641.50,626.50,633.25,627.35,5.9,0.94
HCL Tech,994.70,958.75,991.90,983.40,8.5,0.86
NTPC,103.00,99.30,101.35,100.60,0.75,0.75
Asian Paints,"2,593.55","2,537.00","2,587.70","2,570.70",17,0.66
Reliance,"1,961.00","1,913.00","1,944.30","1,931.80",12.5,0.65
Bharti Airtel,546.15,530.25,539.35,536.15,3.2,0.6
Titan Company,"1,554.50","1,515.55","1,538.55","1,530.60",7.95,0.52
SBI,347.55,336.10,342.70,341.00,1.7,0.5
UPL,623.90,597.40,607.35,604.60,2.75,0.45
HUL,"2,497.00","2,421.10","2,460.65","2,454.40",6.25,0.25
Coal India,130.80,126.95,128.25,127.95,0.3,0.23
Tata Motors,307.55,296.50,303.50,302.85,0.65,0.21
Larsen,"1,391.10","1,358.10","1,374.65","1,373.70",0.95,0.07
