排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,00632R,元大台灣50反1,"258,079,323","17,243",5.80,5.83,5.78,5.80,+,0.15,5.79,5.80
2,00878,國泰永續高股息,"136,573,357","68,283",16.90,17.02,16.84,16.91,-,0.24,16.91,16.92
3,2610,華航,"128,232,680","35,802",21.90,22.55,21.80,22.20,-,0.70,22.15,22.20
4,2618,長榮航,"116,278,423","34,969",32.60,33.30,32.50,32.60,-,1.55,32.55,32.60
5,1524,耿鼎,"111,485,387","38,960",29.25,29.60,28.25,29.40,+,0.15,29.35,29.40
6,2603,長榮,"86,603,885","49,561",88.00,89.10,86.50,87.90,-,5.60,87.90,88.00
7,2303,聯電,"78,213,765","29,865",39.65,40.05,39.30,39.95,-,1.35,39.90,39.95
8,058461,臺股指元大1B購10,"75,289,000",451,0.01,0.02,0.01,0.01,-,0.02,0.01,0.02
9,00637L,元大滬深300正2,"63,581,885","6,835",16.82,16.97,16.64,16.68,-,0.36,16.68,16.69
10,6443,元晶,"63,577,781","31,127",37.60,39.40,37.20,39.00,+,0.65,39.00,39.05
11,3481,群創,"63,018,694","9,649",11.50,11.70,11.35,11.60,-,0.30,11.60,11.65
12,5258,虹堡,"62,313,103","36,909",76.10,82.90,75.30,75.50,-,2.00,75.50,75.70
13,2409,友達,"60,744,158","11,540",15.70,16.05,15.40,15.75,-,0.40,15.75,15.80
14,0056,元大高股息,"53,315,667","30,687",28.44,28.52,28.29,28.45,-,0.65,28.44,28.45
15,2367,燿華,"50,055,275","16,997",21.55,22.75,21.50,22.60,+,0.45,22.60,22.65
16,1605,華新,"47,443,610","21,390",37.30,38.75,37.25,38.50,-,0.45,38.50,38.55
17,2609,陽明,"44,879,124","28,718",79.10,79.90,78.10,79.60,-,3.80,79.60,79.70
18,2883,開發金,"40,815,741","15,192",13.35,13.45,13.30,13.35,-,0.40,13.35,13.40
19,00671R,富邦NASDAQ反1,"39,121,651","1,898",6.01,6.02,5.98,6.00,+,0.29,5.99,6.00
20,2313,華通,"38,843,804","20,513",51.10,52.20,49.00,51.70,-,0.70,51.60,51.70
